risk,likelihood,impact,mitigation,early_warning
Agency Hackers already sells the board,high,fatal_to_launch,Do not launch a copy. Only a stricter KPI board at higher price - still weak,Owners say they already have a board or AH membership
Competing agencies will not share,high,high,Non-overlap on sector/geography; written confidentiality,First meeting stays at 'how we win pitches' anecdotes
Owner diaries,high,high,6-8 week cadence not monthly; 3-hour not full day,RSVP <70% by meeting 2
Year-1 churn after novelty,high,high,KPI accountability creates switching cost; else they leave,Renewal conversations delayed
Free Slack / TAC Collaborate £99,high,medium,Must be clearly not a community,Prospects ask for Slack
Vistage/TAB/Helm stronger for £2m+ owners,medium,high,Stay agency-specific and cheaper - but then you are AH,Owners compare to Vistage Chair
Wow owns benchmarks,high,high,Do not build a survey product,Sponsors want 'the data'
Sponsor contamination,high,high,No suppliers in the room if claiming independence,Partner dinner invitations
Recession / agency closures,medium,high,Small n; do not staff up,Members freeze spend
AI commoditisation of agency work,medium,high,Topic for the room not a reason to launch,Fee pressure stories dominate
Founder dependence,high,high,Do not scale past 3 groups without chairs,You cannot take a holiday
Confidentiality breach,low,fatal,NDA + expulsion,WhatsApp leak
Uneven sizes in a room,high,medium,Hard size bands 15-40,5-person owner next to 70-person MD
Owner ego / conflict,medium,medium,Facilitator quality,Two members dominate
London venue cost,medium,medium,Member-hosted rooms,Margin <40% on F2F
Cannot get 8 in one city without competitors,medium,high,Online national with size match; loses F2F trust,Waitlist of 4 for 6 months
