topic,iventiv_pulse_2026_pct,conference_2026,paid_open_course_2026,altitude_for_250_5000_head,four_corners_use
leadership_executive_development,64 mid-year (61 in Jan Pulse),iVentiv #1 for years; LT Learning Leadership track; CIPD ACE leadership stream,Hemsley/PTP sell manager skill days not Head-of-L&D strategy,The 12-person first-line programme that does not change 1-to-1s,primary_first_date
artificial_intelligence,62 mid-year (60 Jan; +19 vs 2025),LT whole track; FoW Tech stage; ACE fishbowls; iVentiv Learning Futures,Hemsley AI curriculum (fluency prompts leading augmented teams) as extra modules,Copilot is here; L&D is two people; no new LMS appetite,lens_not_headline
reskilling_upskilling_skills_based,54 mid-year (55 Jan),LT Skills-Based Design track; FoW SFIA and skills planning,Almost absent as public courses; lives in consultancy and platforms,Do we even know what skills we have (spreadsheet not marketplace),secondary_avoid_gsk_scale
learning_culture,46 mid-year (47 Jan),FoW culture/wellbeing mix; iVentiv discussions,Not a public course,Managers still send people on courses instead of developing them,same_problem_as_leadership
change_management,40,FoW thrive-through-change language; 25 Aug canceled theme,Some resilience/stress open days not org change,Restructure already happened; L&D told after,possible_corner
people_data_measurement_roi,38 Jan Pulse,LT Measurement/ROI track,Not an open course,FD wants numbers; you have completions,corner_not_talk
future_of_work,34 Jan Pulse,FoW future-ready theme; ACE future skills,Not an open course,Too baggy for 3.5 hours,do_not_headline
performance_management_support,31 Jan Pulse,Scattered,PTP managing poor performance £490,Line-manager skill they already buy as courses,not_the_afternoon
coaching_mentoring,28 Jan Pulse,Always present,Hemsley Coaching; PTP Coaching and Mentoring £490; half-day £290,They commission this for managers,not_the_afternoon
learning_platforms,20 Jan Pulse,LT exhibition floor (free),Vendor days not public skills courses,Buyer fatigue; you are not a tech show,out_of_scope
wellbeing_mental_health,not in iVentiv top 10 2026,FoW dedicated Wellbeing Stage; 25 Aug Petra keynote,Hemsley resilience/stress; wellbeing vendors,Already bought a provider,do_not_headline_first_date
employment_rights_hr_ops,n/a,FoW Practical Solutions; CIPD ACE ERA,Legal briefings not L&D,People Director job,out_of_scope
