name,type,price_public,format,audience,why_it_matters
Four Corners 25 Aug 2026,live_own_canceled,£0 complimentary (canceled),2.5h Chiswell Street Dining Rooms EC1 speakers plus facilitated discussion,Senior HR People L&D OD near EC1,Founder canceled 17 Aug 2026. Homepage still showed complimentary 25 Aug when fetched that afternoon. Take it down before paid letters land.
iVentiv Knowledge Exchange,peer_event,£0 for approved delegates,Max 40 execs 1-2 days conversational; sponsor-funded 1-2-1s,VP/Director 10000+ employee L&D Talent,Closest format to the vision for senior L&D. Free because sponsors pay. Independence is the opposite trade.
CIPD Festival of Work 2026,exhibition_festival,£0 in person; Content+ £125+VAT,ExCeL 10-11 June 130+ speakers 12000 attendees claimed,HR/L&D volume,Your buyer can already spend a free day with famous names. You must not compete on content volume.
Hemsley Fraser public,open_course,from £625+VAT,Scheduled skills day plus Hub and 30-min coaching,Individuals and teams,The £500-£850 band is real. It buys practice and a toolkit not a peer room.
PTP London one-day,open_course,£490,City of London public skills courses,Open public,Commodity open courses already sit at or below a £350-£500 Four Corners ticket.
School of Life Festival of Ideas 2026,consumer_ideas_day,£210-£360 excl fees,Full day Old Sessions House workshops hospitality gift bag,Self-development public,Proves people will pay £200-£360 for a designed ideas day with hospitality. Different buyer (consumer Sunday vs corporate weekday).
School of Life Kintsugi evening,intimate_conversation,£50 excl fees VAT members-only 30 spaces,90-min facilitated conversation,Members,Intimate conversation events exist. Price is an evening not a professional day.
Become Coaching Conference 2026,coach_peer_day,unknown_public,St Ermins half-day-plus keynote workshop panel peer circles drinks 3 CCEUs,Qualified coaches and trainees,Near-copy of the proposed educational architecture in the coaches vertical. Already in market 26 Sep 2026.
Agency Hackers live events,sector_events,members discount; public tickets not scraped,Hilton/Hyatt London afternoons and days; NYC 20-person invite social sold out,Agency leaders,Agency vertical already has the events calendar. Cloning Four Corners Agency Owners collides here.
HowTo Academy,public_talks,example Kuenssberg from £34.95,Large-room evening talks,Consumer/professional curiosity,Ticket volume model. Not intimate. Not a peer room.
Speaker Agency 2026 bands,cost_input,Band A £1k-3k; B £3k-7.5k; C £7.5k-15k,Keynote 30-60 min; half/full day 3-4x,Corporate,Paid stars cannot sit under a £350 ticket. Network-rate contributors can.
The Marketing Centre / ActionCOACH,not_events,retainers / franchise,Fractional CMO or owner coaching,SME owners,Different model. Listed so founders/directors vertical is not treated as empty.
