id,idea,buyer,who_pays,engine,skill_fit_1to5,crowding_1to5,recurring_1to5,online_ai_fit_1to5,90_day_cash_1to5,energy_guess_1to5,verdict,notes
1,Fractional commercial director for ITPs,Independent training-provider MD / commercial director,Provider,Monthly retainer,5,3,5,4,4,5,TEST FIRST,Closest match to why you are hired into directorships. FE Business and lead-gen agencies exist; they sell workshops and appointments not a sitting commercial operator.
2,Growth and Skills Levy operating system,Levy HR / L&D / finance,Employer,Diagnostic then annual retainer,5,4,4,4,4,4,TEST IF NAMED EMPLOYERS,Independence is the wedge: you do not deliver the training. Every provider already pitches spend-the-levy. Policy window from 1 Aug 2026 (12-month expiry; no 10% top-up on new funds).
3,Skills-sector events plus email media,Awarding bodies EPAOs LMS vendors software and providers as sponsors,Sponsors plus tickets,Events and list,5,4,3,5,3,5,STRONG SECONDARY,Uses email events easy contact lists and AI ops. Do not charge speakers to speak. FE Week already owns news; you would own commercial tactics not journalism.
4,Productised sales system for training firms,ITP commercial teams,Provider,Setup fee plus monthly,5,3,5,5,3,4,ONLINE VERSION OF 1,Email sequences events calendar bid calendar AI drafts. You stay the strategist. Kill if it becomes generic marketing agency.
5,Bid and tender studio,ITPs colleges employer providers,Provider,Per bid plus retainer,5,4,3,5,4,3,KEEP AS LINE NOT FIRM,Funding and bidding skill is real. AEB bootcamps combined authority tenders. High feast-famine if it is the only product.
6,Four Corners programme decision reviews,In-house L&D,Employer,Paid reviews then retainer,4,2,3,3,3,3,ALREADY RESEARCHED,See economic-engine memo on other branch. Identity is better investment decisions not a membership club.
7,ITP MD commercial peer board,Small training-firm owners,Owner / firm,Monthly membership,4,3,5,2,3,3,ONLY IF 8 NAMED MDS,ActionCOACH mechanics in your sector. Do not brand as WBLA. AELP already sells sector membership from about £700 plus VAT.
8,Relaunch WBLA as membership / lobbying,Independent providers,Provider subscriptions,Membership,3,5,4,2,1,2,DO NOT LAUNCH,AELP occupies this. Prior UK WBLA entities dissolved. Poorly-run clubs can still work; a second AELP will not.
9,Help levy employers become employer-providers,Levy-paying employers,Employer,Project then compliance retainer,4,5,4,2,2,3,DO NOT LEAD WITH THIS,APAR already served by SDN Skills Office Network ESS Assist DSG. Most employers should not become providers. Offer a go/no-go inside idea 2 instead.
10,FE college consulting (quality / employer engagement),College commercial or quality leads,College,Day rate / project,4,5,2,2,2,3,LOW PRIORITY,Slow procurement. FE Business claims this space. Ex-HMI own quality. Use only if a named college asks.
11,Ofsted / quality / compliance retainer,ITPs employer providers,Provider,Retainer,4,5,5,3,3,3,ONLY IF YOU LOVE THE WORK,Real skill. Crowded with former inspectors. Combine with 1 as QC inside a commercial retainer rather than as the brand.
12,Portfolio NED at competing training firms,Competitor boards,Company,Fees,5,2,4,2,1,1,KILLED BY FOUNDER,Would not feel right. Do not use as cash bridge.
13,AI bid-and-compliance briefing product,Provider quality and bid leads,Provider,Subscription,3,4,5,5,2,3,LATER,Liability if wrong on funding rules. TIQPlus FE Week AELP already brief the sector. Human-signed service first.
14,Coach / facilitator / speaker marketplace or club,Coaches facilitators speakers,Talent,Membership,2,5,4,4,2,2,KILLED,Contacts are easy which means supply is not scarce. Trainer Talk exists. Work-finding fees are legally dangerous.
15,Discount training company / cheap associate panel,HR / L&D,Employer,Day rate,2,5,2,2,2,1,KILLED,Keeps sales cost without provider margin. Trainers are easy to find.
16,Awarding body EPAO vendor business development,Awarding bodies EPAOs EdTech,Vendor,Retainer plus events,4,3,4,4,3,4,INTERESTING ADJACENT,You already know how to fill rooms of providers. They pay for access to buyers. Glenister test: do not pretend independence if vendors pay.
17,Combined authority / LSIP bid partner,ITPs wanting local skills money,Provider or CA,Project,4,4,2,3,2,3,OPPORTUNISTIC,Relationship and bidding skill. Not a year-1 company unless you already have the relationships.
18,Generic AI / online info-product business,Anyone,Consumer,Course or SaaS,1,5,3,5,1,2,DO NOT,No director advantage outside a chosen beachhead.
19,Fractional commercial director for owner-managed B2B service firms,MD of FM security cleaning waste specialist contractor,Client firm,Monthly retainer,5,4,5,4,4,5,TEST IF LEAVING EDUCATION,Same product as idea 1. Door is BNI Action Coach Sporting Club Evolve. Wedge vs The Marketing Centre is sales+bids+events not CMO campaigns.
20,Public-sector contractor commercial OS,MDs selling to councils NHS frameworks,Client firm,Sprint then retainer,5,4,4,4,3,4,STRONG ANALOGUE,Closest non-education map of funded-training: bids compliance evidence lumpy pipeline. Do not pretend CQC or construction technical expertise.
21,Fractional commercial director for trade associations,Volunteer chairs / small secretariats,Association,Retainer,5,3,5,4,3,4,INTERESTING,Memberships poorly run but survive. AMCs do admin. You would own events email retention sponsor sales.
22,Recruitment boutique commercial operator,Independent agency owners,Agency,Retainer,4,3,5,3,3,3,KILL-TEST BEFORE MARRYING,ONS 18220 in SIC 78.10. APSCo SME forums and The Recruitment Network exist. Fee-earner utilisation maps to associate management.
23,Architecture engineering environmental consultancy BD,Practice principals,Practice,Retainer,3,3,4,3,2,3,ONLY IF FIVE NAMED PRINCIPALS,Prior verticals CSV: interesting but cyclical. Technical credibility is borrowed.
24,Interim commercial director non-competing sector,Non-education firm,Employer,Fixed-term fee,5,3,2,2,4,3,CASH JOB NOT COMPANY,Different from NED. Start and end date. Use if a club or recruiter introduces it.
25,Affiliate The Marketing Centre or ActionCOACH,SME owners,Via their brand,Their model,2,5,4,3,2,1,DO NOT,Late copy of someone else's category.
