analogue,who,group_size,cadence,format,public_price,sponsors,peer_board,lesson,price_status
Agency Hackers,independent agency owners and leaders (not only owners),10-12 Agency Board matched by stage,quarterly F2F board + 15-30 online sessions/quarter,hybrid,Standard £250/month; Large 50+ £450/month,recommended partners and event sponsors including dinners,YES - included in membership,This IS the product. Incumbent since 2017. Also running Agency Collective from May 2025.,verified
Agency Collective,founder or shareholding director; ~500 leaders claimed,accountability groups at Grow tier,community + programme,mostly online + socials,Collaborate £99/mo or £990/yr; Grow £199/mo or £1990/yr; Scale £999/mo or £9990/yr for £1m+ exit mentoring,partnerships historically,accountability group at Grow,Now operated alongside Agency Hackers (Ian Harris LinkedIn 19 May 2025). Do not treat as a separate gap.,verified_prices_from_TAC_site
Wow Company BenchPress,independent agency owners especially £1m+ fee income,n/a survey,annual survey + events,research,survey participation; accountancy is the commercial engine,accountancy practice,no,Owns UK independent-agency benchmarking. Four Corners cannot out-benchmark Wow.,verified_findings_from_Wow_blog
PRCA,PR agencies; fees by fee income,association,events training Matchmaker,professional body,unpublished (fee-income based),industry body,not a confidential owner board,Credibility and new-business Matchmaker; not a Corner.,unpublished_fee
IPA,ad/media/marcomms agencies GI ≥£750k corporate; Accelerator <£750k,association,legal/financial advice used by 80% of members claimed,professional body,Accelerator £1500 excl VAT; corporate unpublished,industry body,no,Legal advice is a substitute for some owner anxiety. Census is employment not owner peer.,partial
Vistage UK,MD/CEO/owner non-competing industries,12-18 CE programme,12 full-day meetings + 12 1:1s + speakers,F2F local,CEO unpublished; Emerging Leaders £3600/year verified,speakers not agency-sponsor model,YES + Chair coaching,Cross-industry. Agency owners who want this already can join. Price above AH.,partial
TAB UK,SME owners,typically 8-10 globally,monthly + 1:1 with facilitator,local F2F,UK list unpublished; US reviews ~$600-900/month,no,YES,Closest generic owner board. Agency-specific version is AH Board.,unpublished_uk
EO,founder $1m+ revenue,Forum 7-10,monthly,chapter,Global dues US$2630 + US$3500 initiation (Jul 2026 fact sheet); chapter extra,no,YES Gestalt forum,Works if agency is £1m+ and owner wants mixed-industry. Not agency-specific.,verified_global_dues
YPO,CEO meeting high thresholds,Forum ~8,monthly,global,dues unpublished here; secondary reports high,no,YES,Wrong size. Most target agencies will not qualify.,unpublished
Helm (ex Supper Club),UK founders £2m+ and 10+ team; 400+ members,Forum 6-8,10 times/year claimed,UK F2F,unpublished; Helm's own guide says UK groups typically £2k-£15k,non-sales ethos claimed,YES,Stage-fit alternative for the few agencies at £2m+. Not agency-specific.,unpublished_helm_fee
Gordon Glenister dinners,sponsor's ideal clients,10-12,ad hoc,F2F dinner,£10000+VAT verified,sponsor owns the room,no,What suppliers pay for ACCESS. Do not confuse with independent peer boards.,verified
iVentiv,VP L&D at 10k+ employee HQs,max 40,event series,F2F,members free; sponsor fees unpublished,sponsors in room + 1:1s,no,Wrong audience. Included only as access analogue.,unpublished_sponsor
