Date,Day of Week,Platform,Content Type,Title/Topic,Historical Period/Topic,Video Length (seconds),Script Status,Visual Assets Status,Production Status,Posting Status,Engagement Notes,Performance Metrics
2024-01-01,Monday,TikTok,Quick Fact,"Did You Know: New Year Origins","Ancient History - Roman Calendar",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-01,Monday,Instagram Reels,Quick Fact,"Did You Know: New Year Origins","Ancient History - Roman Calendar",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-01,Monday,YouTube Shorts,Quick Fact,"Did You Know: New Year Origins","Ancient History - Roman Calendar",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-02,Tuesday,TikTok,Historical Figure,"Cleopatra: Beyond the Beauty","Ancient History - Egypt",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-02,Tuesday,Instagram Reels,Historical Figure,"Cleopatra: Beyond the Beauty","Ancient History - Egypt",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-02,Tuesday,YouTube Shorts,Historical Figure,"Cleopatra: Beyond the Beauty","Ancient History - Egypt",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-03,Wednesday,TikTok,On This Day,"On This Day: January 3rd","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-03,Wednesday,Instagram Reels,On This Day,"On This Day: January 3rd","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-03,Wednesday,YouTube Shorts,On This Day,"On This Day: January 3rd","Various Historical Events",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-04,Thursday,TikTok,Historical Event,"The Fall of the Roman Empire","Ancient History - Rome",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-04,Thursday,Instagram Reels,Historical Event,"The Fall of the Roman Empire","Ancient History - Rome",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-04,Thursday,YouTube Shorts,Historical Event,"The Fall of the Roman Empire","Ancient History - Rome",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-05,Friday,TikTok,Myth Debunked,"Myth: Vikings Wore Horned Helmets","Medieval History - Vikings",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-05,Friday,Instagram Reels,Myth Debunked,"Myth: Vikings Wore Horned Helmets","Medieval History - Vikings",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-05,Friday,YouTube Shorts,Myth Debunked,"Myth: Vikings Wore Horned Helmets","Medieval History - Vikings",45,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-06,Saturday,TikTok,Quick Fact,"Amazing Fact: Ancient Inventions","Various - Inventions",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-06,Saturday,Instagram Reels,Quick Fact,"Amazing Fact: Ancient Inventions","Various - Inventions",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-06,Saturday,YouTube Shorts,Quick Fact,"Amazing Fact: Ancient Inventions","Various - Inventions",30,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-07,Sunday,TikTok,Historical Figure,"Leonardo da Vinci: The Ultimate Renaissance Man","Renaissance - Italy",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-07,Sunday,Instagram Reels,Historical Figure,"Leonardo da Vinci: The Ultimate Renaissance Man","Renaissance - Italy",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
2024-01-07,Sunday,YouTube Shorts,Historical Figure,"Leonardo da Vinci: The Ultimate Renaissance Man","Renaissance - Italy",60,Script Ready,Assets Ready,In Production,Scheduled,,"Views, Likes, Shares"
