scenario,members,corners,paid_fee_gbp,membership_revenue,sponsor_revenue_low,sponsor_revenue_high,total_revenue_mid,direct_costs_mid,staff_founder_draw_mid,contribution_after_founder_mid,notes
A_paid_only,100,9,1200,120000,0,0,120000,45000,60000,15000,Assumes £1200 employer-paid; 9 Corners of ~11; 6 meetings/yr mix of Zoom and 2 F2F. Direct costs = venues+tools+facilitation cash.
A_paid_only,250,22,1200,300000,0,0,300000,110000,120000,70000,Needs 1 community manager + founder. Still specialist firm not venture.
A_paid_only,500,45,1200,600000,0,0,600000,220000,220000,160000,Ops complexity is the constraint not demand headline.
A_paid_only,1000,90,1200,1200000,0,0,1200000,450000,400000,350000,Requires city network and hired facilitators. High execution risk.
B_sponsor_only_free_members,100,9,0,0,40000,120000,80000,55000,60000,-35000,Sponsor must fund venue+facilitation+founder. 12-person rooms are a weak media product. Cash-flow fragile.
B_sponsor_only_free_members,250,22,0,0,100000,280000,190000,130000,120000,-60000,More groups = more sponsor sales load. Quality control hard.
B_sponsor_only_free_members,500,45,0,0,200000,560000,380000,260000,220000,-100000,Looks like Evanta-lite without Gartner brand or C-suite ACV.
C_hybrid_modest_fee,100,9,750,75000,20000,60000,115000,50000,60000,5000,Members pay something so no-shows drop; 1-2 gathering sponsors. Corners remain sponsor-free.
C_hybrid_modest_fee,250,22,750,187500,50000,150000,287500,120000,120000,47500,Recommended shape if validation passes.
C_hybrid_modest_fee,500,45,750,375000,100000,300000,575000,240000,220000,115000,Do not add four sub-brands before this scale.
D_free_corners_sponsored_events,100,9,0,0,16000,40000,28000,40000,40000,-52000,Corners unpaid drain; events do not fund 9 groups.
E_paid_corners_sponsored_events,100,9,1200,120000,16000,40000,148000,55000,60000,33000,Best unit economics of the six at small scale IF members actually pay.
E_paid_corners_sponsored_events,250,22,1200,300000,40000,100000,370000,130000,120000,120000,Year-3 aspiration not year-1 plan.
F_free_online_paid_f2f,100,9,400,40000,10000,30000,60000,35000,50000,-25000,Online free destroys paid F2F conversion (assumption; must test).
assumption_venue_f2f_pp, , ,90, , , , , , , ,ESTIMATE London private dining with food £75-120pp. Not a venue quote.
assumption_meetings_per_year, , ,6, , , , , , , ,ASSUMPTION: 4 online 90min + 2 F2F half-days.
assumption_no_show_paid, , ,0.12, , , , , , , ,ASSUMPTION from general events; not Four Corners data.
assumption_no_show_free, , ,0.28, , , , , , , ,ASSUMPTION; free diary is softer.
assumption_conversion_outreach, , ,0.08, , , , , , , ,UNKNOWN. Validation plan tests this. 8% of qualified conversations to paid member is optimistic.
assumption_sponsor_12_person_corner, , ,2500, , , , , , , ,ESTIMATE range £1k-5k if names+follow-up allowed; near £0 if no data and no presence. Not a surveyed price.
assumption_sponsor_40_person_gathering, , ,6000, , , , , , , ,ESTIMATE £4-10k London afternoon if 1:1s allowed; less if pitch-free. Compare SHRM roundtable $35k with scans.
