analogue,family,who_participates,group_or_event_size,frequency,format,who_pays,public_price,sponsors_in_room,selection,retention_driver,lesson_for_four_corners,pricing_status
iVentiv,supplier-funded executive exchange,VP/Director L&D Talent Exec Dev at 10000+ employee HQ,max 40,event series worldwide,in-person Knowledge Exchange,suppliers (event partners),not published; members free,yes - as equal participants plus 2-3 1:1s/day,iVentiv approval; first come,93% claimed satisfaction; word of mouth since 2008,Do not copy below 10000 employees without proving sponsor ACV still works,unpublished_sponsor_fee
Evanta Gartner C-level Communities,supplier-funded C-suite community,CHRO/CIO etc typically $500m+ revenue,"13 CHRO communities; 2500+ CHROs claimed",several times/year,summit + inner circle dinner + virtual town hall,sponsors; members complimentary,£0 to qualifying members,yes - T&Cs share contact details with peers AND sponsors,vetted application,peer quality + local cadence + Gartner brand,Closest scaled 'free to buyer' HR analogue; privacy/T&Cs are the trust trade,unpublished_sponsor_fee
World50 / HR50,paid C-suite peer community,C-suite at ~$1bn+ revenue firms,intimate role communities,summits + ongoing,mix,members,reported ~$50000/year (secondary; not a price list),innovator roundtables exist after EHIR acquisition,invitation; $1bn+ filter,peer quality at the top of the market,Proves buyers pay a lot when the room is rare. Four Corners cannot charge this,secondary_report
Chief,paid executive community,women VP+,small advisory groups 8-12 plus events,ongoing,mix + clubhouses,members often employer-sponsored,"historically $5900 core; coaching from $7500 (2024 Bizjournals)",not the core product,application,facilitated small room + identity,People pay thousands for a facilitated small room not a Slack group,partially_public
Vistage,paid CEO peer advisory,CEOs of mid-size firms,typically 12-16,monthly full day,in-person + chair 1:1s,members,"US CEO ~$16500 + $2500 initiation (reviews); UK CEO unpublished; UK Emerging Leaders £3600 verified",speakers sometimes; not a vendor expo,revenue thresholds,Chair quality + monthly habit,Gold standard for paid Corners - but CEO P&L owners not Heads of L&D,partially_public
The Alternative Board,paid SME peer board,business owners,8-10,monthly ~4 hours,in-person,members,"secondary $600-900/month; UK list not verified here",no,non-competing industries,facilitation + confidentiality,Price point for SME owners still far above L&D personal spend,secondary_report
Gartner for HR,buyer-paid research + peer,enterprise CHRO / HR leaders,inquiry + Peer Connect 100000+ claimed,ongoing,research portal + conference,client organisation,"G-Cloud CHRO exec £24100/licence; commercial $25k-$150k+ reported ranges",vendors are a separate Gartner relationship,enterprise sales,political cover + inquiry,Buyers pay for artefacts they can take to the CFO not for networking alone,partially_public
Fosway Corporate Network,buyer-paid analyst + roundtables,European HR/L&D tech buyers,roundtables + 250+ leader network claimed,ongoing,F2F and virtual roundtables,corporates; vendors have a separate programme,not published; free Associate tier exists,vendor programme is separate,corporate engagement,independence + 9-Grid,Independence is the product; free Associate tier trains people not to pay,unpublished
Talent and Leadership Club,free practitioner network,in-house talent/L&D/OD/culture only; no consultants,~2000 in 35 countries,community events,peer network,free to members; partnership opportunities for suppliers,£0,partners can lead smaller gatherings or commission research,application; in-house only,give-to-get culture since 2010,Direct substitute for an open Four Corners community. Intact repeating groups of 12 are the only durable difference,verified_free
CIPD,professional body,HR L&D people professionals,branches + national OD&D network,ongoing,events + qualifications,members,£199-£261/year typical practising grades,not a buying club,open membership,credential + identity + local branches,Sets the 'fair' professional fee in UK HR heads. Anything 10x CIPD needs a clearly different job,verified
CIPD OD&D Network,free-to-member specialist network,CIPD members in OD&D; internal or consultant,national from late 2025,network events,peer + guests,included in CIPD dues,included,not commercial,CIPD member,fills OD isolation,OD is already organising itself. Four Corners OD as a separate brand is late,verified
Learning Technologies,trade exhibition,L&D and HR,15000+ claimed,annual 2 days,Excel London,free exhibition for L&D; conference paid; exhibitors pay,exhibition free to L&D,yes - 200+ exhibitors,open registration,content + suppliers in one place,Diary competition and 'I already go to LT' objection,claimed_attendance
HRD Connect Collectives,media/community hybrid,senior HR,incubators/roundtables,series,digital incubators,typically sponsor-backed media model,not published,typical for this format,senior HR,content brand,Crowded 'senior HR roundtable' category,unpublished
Pavilion,paid GTM community,VP+ B2B sales/marketing/CS,chapters + slack + summits,200+ events/year claimed,mix,members,public 'view pricing' page; specific fee not captured here,not core,application,functional identity + chapters,Functional community works when the job is lonely AND budget-holding,unpublished_here
EAB / Advisory Board heritage,paid research membership,hospitals / universities,peer meetings + studies,ongoing,research + meetings,institutions,not published current,historically member-funded,institutional,original inquiry + peer,Best long-term analogue if Four Corners ever builds research. Year-1 fantasy if claimed now,unpublished
SHRM roundtable sponsor product,conference add-on,HR conference attendees,roundtable session,$35000 package,in-person conference,sponsor,USD 35000 verified 2026,yes - sponsor facilitates; badge scans shared,conference attendees,lead-gen,What sponsors actually buy: remarks + data + facilitation rights. Conflicts with pitch-free Corners,verified
