product,buyer,price,vat_note,format,typical_topics_2026,job_to_be_done,source,retrieved
Hemsley Fraser public course,L&D buys for a manager,625,plus VAT from,1 day or blended plus Hub and 30-min coaching,Intro to management; challenging conversations; coaching; feedback; time; influencing; EI; resilience; hybrid teams; AI modules,Individual skill practice,hemsleyfraser.com/course-schedule,2026-08-18
Hemsley Fraser group public,L&D buys for a team,3000,plus VAT from up to 10,As above,Same catalogue,Cohort of managers,hemsleyfraser.com/course-schedule,2026-08-18
PTP London one-day public,L&D buys for a manager,490,listed inc or as published,1 day City venue lunch included,Leadership and motivation; intro to management; coaching and mentoring; difficult staffing; performance coaching,Individual skill practice,ptp.co.uk,2026-08-18
PTP half-day public,L&D buys for a manager,290,from,Half day,Performance coaching,Bite-size skill,ptp.co.uk,2026-08-18
CIPD Festival of Work in person,Head of L&D themselves,0,free,2 days ExCeL 10-11 Jun 2026,AI; skills; wellbeing; leadership; ERA practical,Volume conference,cipd.org,2026-08-18
Learning Technologies exhibition,Head of L&D themselves,0,free,2 days ExCeL 29-30 Apr 2026,200+ vendor seminars,Scan tools,learningtechnologies.co.uk,2026-08-18
Learning Technologies Conference standard,Head of L&D themselves,1395,plus VAT (EB 1295),2 days paid tracks,AI; skills-based design; leadership; ROI; LXD,Paid conference,Learning News / CloserStill rates,2026-08-18
Learning Technologies Conference premium,Head of L&D themselves,1595,plus VAT (EB 1495),2 days plus lounge,Same plus Executive Club roundtables,Paid conference plus access,Learning News / CloserStill rates,2026-08-18
CIPD ACE exhibition,Head of L&D / HR,0,free,2 days Manchester 4-5 Nov 2026,HR and L&D mix,Volume,cipd.org,2026-08-18
CIPD ACE conference pass,Head of L&D / HR,830,standard; member EB 675,2 days four streams,EX; future skills; career; leadership and engagement,Profession conference,cipd.org,2026-08-18
CIPD Level 7 Strategic L&D,Head of L&D themselves,3000-7000,UK typical band; live-online examples 3700-4950,Months not a day,Strategy qualification,Chartership / career,cipd.org; Leep; ICS Learn,2026-08-18
iVentiv Knowledge Exchange,Group CLO / VP 10000plus,0,free if approved,1-2 days max 40,Leadership; AI; skills; culture; change (Pulse),Peer room of CLOs,iventiv.com,2026-08-18
Four Corners proposed,Head of L&D 250-5000 themselves,350-400,plus VAT,3.5h plus canapes,One shared problem two angles then Corners,Peer interrogation same altitude,event-machine memo,2026-08-18
