asset_type,item,status
product,Premium intimate events not large conferences,claimed
product,Talks and conversations not presentations,claimed
product,Contributors chosen to provoke not celebrity alone,claimed
product,High-quality central London venue and hospitality,evidenced_chiswell
product,Educational design behind the event,founder_skill
product,Facilitated discussion immediately after talks,claimed_and_on_site
product,Smaller groups for honesty,claimed_tension_at_40_plus
product,Events begin conversations not one-offs,claimed
product,Corners continue after the event,membership_shape_not_required
product,Topics from participant need,claimed
product,What worked what did not what we would do differently,claimed
product,Capture learning between events,unbuilt
product,Repeatable across professional audiences,hypothesis_under_test
value,For people creating better places to work,live_on_site
value,Created for conversation not speakers,live_on_site
value,Built for trust not access,live_on_site_tension_with_unpaid_speakers
value,Better conversations to better decisions to better organisations,claimed
value,Practitioner experience is knowledge,claimed
value,Great Ideas. Reality.,claimed
value,Independence from supplier-led agendas,live_faq_no_stands
value,No selling member data,claimed
value,Quality of interaction over volume,claimed
founder,20 years education/training director-level,stated
founder,Ran government-funded and commercial providers,stated
founder,Quality compliance audits Ofsted,stated
founder,15 years managing associate trainers,stated
founder,Speaker and programme-design judgement,stated
founder,Facilitation after someone speaks,stated
founder,Can operate without a large team,stated
founder,Can get people in the room,must_be_tested_at_paid_prices
founder,Not wedded to one audience,true_and_a_risk_if_it_becomes_four_brands_at_once
